OBJECTID,DAUID,PRUID,PRNAME,CDUID,CDNAME,CDTYPE,CCSUID,CCSNAME,CSDUID,CSDNAME,CSDTYPE,ERUID,ERNAME,SACCODE,SACTYPE,CMAUID,CMAPUID,CMANAME,CMATYPE,CTUID,CTNAME,ADAUID,ShapeSTArea,ShapeSTLength
23083,35180874,35,Ontario,3518,Durham,RM,3518029,Uxbridge,3518029,Uxbridge,TP,3530,Toronto,535,1,535,35535,Toronto,B,5350832.00,0832.00,35180003,20852327.6126466,20425.4321997026
23084,35180875,35,Ontario,3518,Durham,RM,3518029,Uxbridge,3518029,Uxbridge,TP,3530,Toronto,535,1,535,35535,Toronto,B,5350832.00,0832.00,35180003,18729896.8091011,21627.9930520527
23085,35180184,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320010.00,0010.00,35180032,322499.565299525,3236.04427698668
23086,35180185,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320010.00,0010.00,35180032,113377.12925463,1607.21772785708
23087,35180186,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320010.00,0010.00,35180032,67827.83106236,1106.67729435761
23088,35180878,35,Ontario,3518,Durham,RM,3518029,Uxbridge,3518029,Uxbridge,TP,3530,Toronto,535,1,535,35535,Toronto,B,5350830.00,0830.00,35180003,20915697.182859,20852.7424898041
23089,35180879,35,Ontario,3518,Durham,RM,3518029,Uxbridge,3518029,Uxbridge,TP,3530,Toronto,535,1,535,35535,Toronto,B,5350830.00,0830.00,35180003,39337042.6159732,29437.1491002672
23090,35180880,35,Ontario,3518,Durham,RM,3518029,Uxbridge,3518029,Uxbridge,TP,3530,Toronto,535,1,535,35535,Toronto,B,5350830.00,0830.00,35180003,21814360.135829,21650.8282577834
23091,35180881,35,Ontario,3518,Durham,RM,3518001,Pickering,3518001,Pickering,CY,3530,Toronto,535,1,535,35535,Toronto,B,5350807.00,0807.00,35180013,6398288.34569213,10758.948714991
23092,35180882,35,Ontario,3518,Durham,RM,3518001,Pickering,3518001,Pickering,CY,3530,Toronto,535,1,535,35535,Toronto,B,5350807.00,0807.00,35180013,5913471.42626819,11316.1839558011
