,OBJECTID,DAUID,PRUID,PRNAME,CDUID,CDNAME,CDTYPE,CCSUID,CCSNAME,CSDUID,CSDNAME,CSDTYPE,ERUID,ERNAME,SACCODE,SACTYPE,CMAUID,CMAPUID,CMANAME,CMATYPE,CTUID,CTNAME,ADAUID,ShapeSTAre,ShapeSTLen,geometry,lon,lat
0,22832,35180133,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320009.03,0009.03,35180024,729147.66760974,3810.8387652406172,"POLYGON ((-78.8462088011802 43.93198338921588, -78.84506929623014 43.9295411943745, -78.84528240952748 43.92948540553291, -78.84589378601108 43.92933448600132, -78.84612360628091 43.92928559303731, -78.84624628262603 43.92926360804304, -78.84655980515213 43.93001299478908, -78.84657538864234 43.93004198684942, -78.84659889669014 43.93006800864394, -78.84662949270162 43.93009000900742, -78.84666578433443 43.93010690558879, -78.84765529678052 43.9304690045194, -78.84871379829944 43.93083650973337, -78.84977638837344 43.93119539474237, -78.84980879956049 43.93113400677199, -78.85002010048719 43.93082100082407, -78.85012578400838 43.93068460915455, -78.85021149488769 43.93059400896483, -78.85038690252021 43.93043690260386, -78.85060141029636 43.93026760833203, -78.85076901167818 43.93038908993933, -78.85127959342341 43.93070629573653, -78.85150860195017 43.93083950141538, -78.85193149120613 43.93104810634561, -78.85231718892803 43.93119679700086, -78.85269340008438 43.93130849951309, -78.85293369263432 43.93136530746516, -78.85312409356359 43.93140579938369, -78.85336349864822 43.93144429309465, -78.85387740621042 43.93149110553219, -78.85407399778563 43.93149518910197, -78.85499558473515 43.93151019615487, -78.85562511075975 43.93151640504056, -78.85640698877228 43.93152249420802, -78.85672731087983 43.93152850810921, -78.85681079265359 43.9317630044759, -78.85695980650836 43.93206430281899, -78.85717348386476 43.9325461009785, -78.85749191041204 43.93324899671589, -78.8577858936646 43.933918493325, -78.85826048245522 43.93496550909337, -78.85869041262964 43.93593259812501, -78.85883299570939 43.93626939422499, -78.85899611914236 43.93668679066457, -78.85920751134131 43.937273397803, -78.85924709817415 43.93737528899922, -78.85786479925179 43.93769268889283, -78.85753640718954 43.93776638842173, -78.85708991422467 43.93787220022666, -78.85631228918304 43.93805640413556, -78.85612338415955 43.93804290349665, -78.85541499200924 43.93820340382708, -78.85045641537494 43.93932479615703, -78.8503707952668 43.93939869866587, -78.84995940163343 43.93948819876368, -78.84949031507823 43.93959939683674, -78.84944700803455 43.93949889081033, -78.84930031222989 43.93915210207303, -78.84885679528493 43.93812149001291, -78.84863000226873 43.93758000751065, -78.84790598805819 43.93590161053906, -78.84693140494375 43.93363779704837, -78.8462088011802 43.93198338921588))",-78.8522290955396,43.93465018549909
1,22833,35180135,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320008.07,0008.07,35180021,324255.37084968,3858.417556995912,"POLYGON ((-78.83581601776864 43.93307199644865, -78.83420000088385 43.92937348749838, -78.83417901390729 43.92932549951697, -78.8341615323274 43.92920724185972, -78.83415749069083 43.92917990300995, -78.83415789193047 43.9290380093703, -78.83417838830709 43.92890308904781, -78.83421520122556 43.92878420340366, -78.83426881776472 43.9286687911495, -78.83430941158946 43.92859310061694, -78.83433220313104 43.92854930009658, -78.83439100035655 43.92846381238498, -78.83446211397164 43.92838330653722, -78.83454410550075 43.92830859527297, -78.83473871165218 43.92816769947796, -78.8348668065746 43.92809439046427, -78.83500488828588 43.9280312094298, -78.83512828280981 43.92798610862823, -78.83538749447023 43.92791721174851, -78.83565528388026 43.92786839858694, -78.83643980462706 43.92775859317594, -78.83755999874678 43.9276010916663, -78.83768189900881 43.92757699979283, -78.83776301611766 43.92785669830215, -78.83787360869943 43.92827958976918, -78.83787448981947 43.92830470695534, -78.83786831267871 43.9283294069231, -78.83785501336624 43.92835280613086, -78.83783531554215 43.92837349844304, -78.83779590721682 43.92839811403302, -78.83774768610402 43.92841259784078, -78.83717459051262 43.92848400827391, -78.83573449168357 43.92867351001135, -78.83566748985511 43.92868768928778, -78.83560279768012 43.9287068119278, -78.83548359638435 43.92875919449909, -78.8354083143111 43.92880748894438, -78.83536749345652 43.92884380651664, -78.83533238185659 43.92888300891691, -78.83530329007823 43.92892450241181, -78.83527998329734 43.92896799534779, -78.83526321022244 43.92901311027175, -78.83524989069227 43.9290916904583, -78.83525331084476 43.92914430706425, -78.83526408970508 43.92919641039317, -78.83528229161045 43.92924729219666, -78.83541290851153 43.92954300657767, -78.83578941400452 43.93040619983633, -78.83580610714247 43.93043279337743, -78.83583000425493 43.93045620657405, -78.83587719647726 43.9304835022381, -78.83591419852517 43.9304951955401, -78.83605731401356 43.93050980502534, -78.83670538652657 43.93050720068286, -78.83805809884787 43.93034140246269, -78.84014579300164 43.93012419480053, -78.84017879098442 43.93011928801569, -78.8402097034128 43.9301093944317, -78.84024901190328 43.9300866119144, -78.8402689924994 43.93006691130697, -78.84028718907 43.9300328967135, -78.84029010836545 43.92999640902612, -78.84017500580737 43.92967689425552, -78.84015680797216 43.92961769509014, -78.84010600179357 43.92904480676148, -78.84008049960551 43.92874238916136, -78.84003961699671 43.92832709168735, -78.84004389393286 43.92824928617483, -78.84006320645581 43.92811100572025, -78.84013039102707 43.92779638828903, -78.84025340715471 43.92780969408254, -78.84033009600049 43.92781001064063, -78.84040628566197 43.9278043979895, -78.84053338137734 43.92778570429115, -78.84061330505084 43.92776919958892, -78.84069041607805 43.92774690470626, -78.84076371353683 43.92771859454951, -78.84079318934472 43.92770429980333, -78.84083260665805 43.92768520601353, -78.8409085912142 43.92763888758892, -78.84096289511008 43.92759989409085, -78.84101121366319 43.92755699700854, -78.8410530101211 43.92751070839959, -78.8410881099574 43.9274615138556, -78.84111548400953 43.92740990082019, -78.84122381810889 43.92723889184334, -78.84156530034791 43.92670250671592, -78.84158200510952 43.92665599492758, -78.84160059486179 43.92657931152634, -78.8416082852995 43.92650160915134, -78.84160428998537 43.9264238984281, -78.84157058462023 43.92624050462751, -78.8415308930276 43.92606088624504, -78.84151511296592 43.9259886987637, -78.84147481128092 43.92586820211401, -78.84121750021842 43.9252606052164, -78.84141721139611 43.92521581005133, -78.84160600638047 43.92516770748851, -78.84174749468279 43.92512770419847, -78.84206030543993 43.9250277042378, -78.84219369989366 43.92499200684843, -78.84294371366548 43.92481480945001, -78.84330269120618 43.92563260192367, -78.84370730129238 43.92654300719752, -78.84378989396686 43.92673198972329, -78.84386361311945 43.92690079286974, -78.84431651180641 43.92791291458742, -78.8444270828696 43.92815960870352, -78.84506929623014 43.9295411943745, -78.84101307239823 43.93169646883626, -78.84063341899984 43.93160358335302, -78.84025641600675 43.93181834055986, -78.83996317306777 43.93192883156522, -78.83995587943369 43.93193813636457, -78.8396069939829 43.93240909992998, -78.83832440018008 43.9324737041183, -78.83689529025561 43.93281380968046, -78.83581601776864 43.93307199644865))",-78.83998487040802,43.92947137831057
2,22834,35180136,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320008.07,0008.07,35180021,97980.54748682,1344.4900187442952,"POLYGON ((-78.83857430076631 43.92714508786375, -78.83862871764654 43.92709519902684, -78.83947658977162 43.92753068601318, -78.83976991545644 43.92767360942806, -78.83988308478465 43.92772500723576, -78.84002949901007 43.92777459191327, -78.84013039102707 43.92779638828903, -78.84006320645581 43.92811100572025, -78.84004389393286 43.92824928617483, -78.84003961699671 43.92832709168735, -78.84008049960551 43.92874238916136, -78.84010600179357 43.92904480676148, -78.84015680797216 43.92961769509014, -78.84017500580737 43.92967689425552, -78.84029010836545 43.92999640902612, -78.84028718907 43.9300328967135, -78.8402689924994 43.93006691130697, -78.84024901190328 43.9300866119144, -78.8402097034128 43.9301093944317, -78.84017879098442 43.93011928801569, -78.84014579300164 43.93012419480053, -78.83805809884787 43.93034140246269, -78.83670538652657 43.93050720068286, -78.83605731401356 43.93050980502534, -78.83591419852517 43.9304951955401, -78.83587719647726 43.9304835022381, -78.83583000425493 43.93045620657405, -78.83580610714247 43.93043279337743, -78.83578941400452 43.93040619983633, -78.83541290851153 43.92954300657767, -78.83528229161045 43.92924729219666, -78.83526408970508 43.92919641039317, -78.83525331084476 43.92914430706425, -78.83524989069227 43.9290916904583, -78.83526321022244 43.92901311027175, -78.83527998329734 43.92896799534779, -78.83530329007823 43.92892450241181, -78.83533238185659 43.92888300891691, -78.83536749345652 43.92884380651664, -78.8354083143111 43.92880748894438, -78.83548359638435 43.92875919449909, -78.83560279768012 43.9287068119278, -78.83566748985511 43.92868768928778, -78.83573449168357 43.92867351001135, -78.83717459051262 43.92848400827391, -78.83774768610402 43.92841259784078, -78.83779590721682 43.92839811403302, -78.83783531554215 43.92837349844304, -78.83785501336624 43.92835280613086, -78.83786831267871 43.9283294069231, -78.83787448981947 43.92830470695534, -78.83787360869943 43.92827958976918, -78.83776301611766 43.92785669830215, -78.83768189900881 43.92757699979283, -78.83773430617859 43.92756661166227, -78.83790279306525 43.9275190077327, -78.83805801750566 43.92746129922587, -78.83820209536 43.9273953935425, -78.83833568623835 43.92731900374607, -78.83845760863485 43.92723290071076, -78.83857430076631 43.92714508786375))",-78.83800399520881,43.92910170731143
3,22835,35180137,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320008.07,0008.07,35180021,94628.520906175,1244.3053520493286,"POLYGON ((-78.84161079238493 43.92195889466785, -78.84178140948121 43.92192591067806, -78.84225678219291 43.92324350316484, -78.84294371366548 43.92481480945001, -78.84219369989366 43.92499200684843, -78.84206030543993 43.9250277042378, -78.84174749468279 43.92512770419847, -78.84160600638047 43.92516770748851, -78.84141721139611 43.92521581005133, -78.84121750021842 43.9252606052164, -78.84027500780627 43.92547021400424, -78.84017080963417 43.92548589842424, -78.8400646871754 43.92549369271259, -78.83995830364829 43.92549348876565, -78.83987079817385 43.92548730967237, -78.83925600633695 43.92539639624312, -78.8393113019043 43.92520078779931, -78.83934598974446 43.92503349046151, -78.83935198851454 43.92494079530865, -78.83934439741051 43.92484829234541, -78.83931930462985 43.92469479713236, -78.83927879873397 43.92457750373261, -78.83919111055587 43.92441250464884, -78.8389174887436 43.92392619175896, -78.83863550263402 43.92324280245852, -78.83845179860336 43.92278360010931, -78.8384091895028 43.92265089329461, -78.83853859206083 43.92263291079493, -78.8390643060266 43.92253400185247, -78.83953961174416 43.92243260554112, -78.84102428348791 43.92210030112643, -78.84161079238493 43.92195889466785))",-78.84067339879104,43.92376539094722
4,22836,35180140,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320008.06,0008.06,35180028,82415.34742182,2008.0755934736994,"POLYGON ((-78.83986599938875 43.91830989825986, -78.83980868989768 43.91829980380765, -78.83947058914269 43.91832180740368, -78.83933168204055 43.91832680657258, -78.83925530227131 43.91833449381834, -78.83912419766422 43.91836338857446, -78.83881629350228 43.9184431015064, -78.83799191319015 43.91862841251003, -78.8376553912902 43.9178826884291, -78.83696009794716 43.91805008988636, -78.83680440564757 43.91810050441566, -78.83665680250678 43.9181621992298, -78.83658760418305 43.91819841109019, -78.8364130932159 43.91830428693994, -78.83625489695072 43.91842260094728, -78.83619991466686 43.91846929261681, -78.836088800374 43.91857940039277, -78.83599418936012 43.9186970954687, -78.83598401747189 43.9187158017595, -78.83550079264914 43.91854380030615, -78.83545449678941 43.91851948895504, -78.83541639730285 43.9184889099001, -78.83537777979235 43.91843380929416, -78.83525229395934 43.91816609405977, -78.83512129589649 43.91786429811721, -78.83486290761775 43.9172723930089, -78.83485828390782 43.91724139943044, -78.83486840537874 43.91719531387633, -78.83489748604772 43.91715359061372, -78.8349434114442 43.91712061201228, -78.83498158835008 43.91710470009888, -78.83540111048926 43.91695811088074, -78.83617568955978 43.91669589097302, -78.83642170752054 43.91663349594447, -78.83748090176044 43.91638759178206, -78.83838350213175 43.91618879927751, -78.83868531749623 43.91687679398513, -78.83900371185797 43.91757141107971, -78.83958669222407 43.91743370972532, -78.8398293019057 43.91738291308287, -78.84047270119295 43.91884821024086, -78.84125541735891 43.92062349695053, -78.84036798794412 43.92083380531613, -78.83992268769417 43.92093259438877, -78.83980919220423 43.92069239034092, -78.83958100333064 43.92017870522248, -78.84050488769077 43.91997069659487, -78.84054660180618 43.91995459490764, -78.84057941277466 43.91992991481997, -78.84058755027571 43.91991593515144, -78.84060388001876 43.91988790842172, -78.84060209928631 43.91984070241411, -78.83995960488291 43.91838380635113, -78.83994480425505 43.91836040034769, -78.83989700891773 43.91832251414007, -78.83987137299671 43.91831209137339, -78.83986599938875 43.91830989825986))",-78.83790406944908,43.917955903609744
5,22837,35180141,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320008.06,0008.06,35180028,102553.161735925,1321.7425088242867,"POLYGON ((-78.83625489695072 43.91842260094728, -78.8364130932159 43.91830428693994, -78.83658760418305 43.91819841109019, -78.83665680250678 43.9181621992298, -78.83680440564757 43.91810050441566, -78.83696009794716 43.91805008988636, -78.8376553912902 43.9178826884291, -78.83799191319015 43.91862841251003, -78.83881629350228 43.9184431015064, -78.83912419766422 43.91836338857446, -78.83925530227131 43.91833449381834, -78.83933168204055 43.91832680657258, -78.83947058914269 43.91832180740368, -78.83980868989768 43.91829980380765, -78.83986599938875 43.91830989825986, -78.83987137299671 43.91831209137339, -78.83989700891773 43.91832251414007, -78.83994480425505 43.91836040034769, -78.83995960488291 43.91838380635113, -78.84060209928631 43.91984070241411, -78.84060388001876 43.91988790842172, -78.84058755027571 43.91991593515144, -78.84057941277466 43.91992991481997, -78.84054660180618 43.91995459490764, -78.84050488769077 43.91997069659487, -78.83958100333064 43.92017870522248, -78.83980919220423 43.92069239034092, -78.83992268769417 43.92093259438877, -78.83853041362562 43.92123840842125, -78.83815960134517 43.92130431169376, -78.8379948947417 43.92132030382265, -78.83782888326677 43.9213239030643, -78.83766318677844 43.92131478714702, -78.83759568735269 43.92130750130078, -78.83740178980452 43.92126808770898, -78.83721450657751 43.92121431078851, -78.83702958455521 43.92115120845381, -78.8368902982677 43.92109359693124, -78.83676458911339 43.92102829329482, -78.83666389735919 43.92097149617837, -78.8365716976276 43.92090739871725, -78.83648939088309 43.92083669732047, -78.83642271114039 43.92076600737094, -78.83636239337808 43.92068368938082, -78.83631411628416 43.92059730033335, -78.83589640517852 43.91965369105382, -78.8358541873354 43.91951459644316, -78.83584030361172 43.91942510442896, -78.83583131402966 43.91935899510237, -78.83583019736562 43.91921891007119, -78.83584980973473 43.91907949960589, -78.83588640581281 43.9189296977974, -78.83593968643841 43.91879698629953, -78.83598401747189 43.9187158017595, -78.83599418936012 43.9186970954687, -78.836088800374 43.91857940039277, -78.83619991466686 43.91846929261681, -78.83625489695072 43.91842260094728))",-78.83806461240181,43.91966141568444
6,22838,35180142,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320008.05,0008.05,35180028,754746.109336645,5364.286678265465,"POLYGON ((-78.82442059517101 43.91147319508676, -78.82434369563063 43.91145221006859, -78.8242625998075 43.91144309797035, -78.82422140592057 43.9114431956032, -78.82370070852993 43.91148168863812, -78.82332619927405 43.91152131046758, -78.82247399137668 43.91160909199574, -78.82157608679921 43.9117095088143, -78.82024618320278 43.91185980462782, -78.82018880147166 43.91176890250439, -78.82014671254085 43.91168089059175, -78.8199746897392 43.91127988796257, -78.81974289032918 43.91071238680432, -78.81931020383173 43.90973551094179, -78.81904540330579 43.90911169038524, -78.81889091527312 43.90876509250169, -78.8188866971024 43.90873939638988, -78.81888989703077 43.90871371138316, -78.81890060182212 43.90868910513984, -78.81891791249232 43.90866659588185, -78.81898579658666 43.90862570853145, -78.81965160947699 43.90844091182956, -78.82032739424353 43.90826130921592, -78.82171370195081 43.90792559696641, -78.82152380168569 43.90744490945322, -78.82139521466461 43.90710280636515, -78.82131819273053 43.90682009625804, -78.82123159639669 43.90640180762698, -78.82113539176889 43.90580510700084, -78.82246331331048 43.90568909175538, -78.82274829183638 43.90567658776563, -78.82297591276965 43.90567309886745, -78.823198102365 43.9056796015191, -78.82348698696534 43.90569870093796, -78.82381528389121 43.9057335087887, -78.82405198308187 43.90628810986733, -78.82444479415896 43.90715749063846, -78.82460349954511 43.90749558931581, -78.82462021369599 43.90752021052246, -78.82464214367242 43.90754027450581, -78.82464369113201 43.9075416887005, -78.82468498249966 43.90756420210349, -78.82468900332017 43.90756639807998, -78.82474249308079 43.90757960197661, -78.82479889173264 43.9075800962257, -78.82492251486957 43.90755369717794, -78.82498410889113 43.90754328901661, -78.82504719350374 43.90753770171494, -78.82511049492865 43.90753679397201, -78.82517350783299 43.90754059307953, -78.82523540270932 43.90754889777403, -78.82562520966285 43.90762080413479, -78.8260208181229 43.90770649665016, -78.82647829970733 43.90779761121386, -78.82652451164583 43.90780450755499, -78.82658589748678 43.90780939584502, -78.82664750762183 43.90780979927494, -78.8267091132209 43.90780540107246, -78.82676949777483 43.90779660665316, -78.82725769455674 43.90766879151612, -78.82735680868429 43.90786209363924, -78.82744979051532 43.90802510053727, -78.82753470368567 43.90818689329022, -78.82769130333119 43.90854549245573, -78.82786220890668 43.90892400976374, -78.82791928442984 43.90906010111625, -78.82839551683118 43.90892909150637, -78.82889239674296 43.90880580564335, -78.82992348075116 43.90855710767303, -78.8303146935981 43.90846209811037, -78.83060530375806 43.90838260076946, -78.83133570939978 43.90816249704987, -78.831997604338 43.90796670474029, -78.83218529060387 43.90791448917219, -78.83399988867643 43.90749701033371, -78.83534258966384 43.90719499098419, -78.83540028502406 43.90735889650742, -78.83575799290615 43.90814589525728, -78.83602509024654 43.90876281078815, -78.83631059430759 43.90939900127349, -78.83666649095976 43.91019081099027, -78.83703489964674 43.91105220872539, -78.83735120528733 43.91176040004395, -78.83752179675002 43.91209681138753, -78.83769278502076 43.91254320374925, -78.83734619999731 43.91260759324885, -78.83702670120897 43.91268290615331, -78.83672169564419 43.91276599248584, -78.83602039712891 43.91292820758729, -78.8341751847217 43.91335950329544, -78.83301600673222 43.91362579499748, -78.83260951479826 43.91371329044691, -78.83223028400717 43.91376859881477, -78.83213411506721 43.91356049145471, -78.83196660008909 43.9131552987247, -78.83190970408926 43.91297540595668, -78.83185150512686 43.912808695501, -78.83170140975865 43.91245819369801, -78.83160830441952 43.91225180514416, -78.83072138781904 43.91027050153227, -78.83070739014018 43.91024790726135, -78.83068778820009 43.91022850269393, -78.8306685732142 43.91021380344491, -78.83066778821642 43.91021319791292, -78.8306477885329 43.910205801718, -78.83063790991874 43.91020210907286, -78.83058609942995 43.9101917038773, -78.83053658729827 43.91019368687022, -78.83012500136772 43.91029328989776, -78.83004180120599 43.91032769856211, -78.83000310431947 43.91034789358501, -78.82993548913474 43.91039640406858, -78.82990728427846 43.91042420999247, -78.8298635885966 43.91048550773552, -78.82984879418582 43.9105183078253, -78.82983788752225 43.91056858804585, -78.82982599856012 43.91083399655475, -78.82980700140665 43.91106310875703, -78.82978680105805 43.91117770010712, -78.82975630559363 43.91126719784915, -78.82973601598275 43.91134220766479, -78.82963620693718 43.91155750637208, -78.8295356985882 43.91172101227255, -78.8294296861951 43.91184869251627, -78.82921139806 43.91207679292999, -78.82894349900265 43.91236661265403, -78.82880591489321 43.91254860658758, -78.8287811984237 43.91259280528575, -78.82875690959033 43.91265219272865, -78.82874099958541 43.91271319889377, -78.82873419919981 43.91277501026482, -78.82873629703148 43.91283700249105, -78.8287640872059 43.91304210495895, -78.82878630359114 43.91326609051607, -78.82880220863001 43.91334800410621, -78.82883068372385 43.91343190959562, -78.82887120865901 43.91351331249686, -78.82893761901862 43.91362649149779, -78.82896628694795 43.91369589255009, -78.82898501333344 43.91376379914006, -78.82900391331889 43.91385679337552, -78.8290170988594 43.91397373335256, -78.82841947035396 43.91400757860212, -78.82795648945114 43.91403379668229, -78.82708930101171 43.91409169756617, -78.82595830390495 43.91415451058133, -78.82568871783759 43.91418359815913, -78.82544610084909 43.91422290150579, -78.82505391441595 43.91430180823448, -78.82479020997603 43.91371209191724, -78.82586908912427 43.91348580251847, -78.82589958700451 43.91347189927733, -78.82592548591126 43.91345360666973, -78.82594551396321 43.91343188996241, -78.82595889885138 43.91340771042603, -78.82596490629619 43.91338201114724, -78.82596338883783 43.91335579770029, -78.8259343994394 43.91328691107308, -78.82581928782588 43.91302299856495, -78.8257897806638 43.9129606078935, -78.82572711280514 43.91282839670458, -78.82569061162454 43.91276241286423, -78.82561278844859 43.91267239651537, -78.8252836970555 43.91232580650392, -78.82496209239673 43.91197790224987, -78.82469401043448 43.91169769195992, -78.82453758706943 43.91153828781149, -78.8245203955036 43.91152520076403, -78.82445629135229 43.91148801122825, -78.82442059517101 43.91147319508676))",-78.82821430849324,43.910166111899706
7,22839,35180128,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320009.03,0009.03,35180024,49134.526364985,1029.8719690644782,"POLYGON ((-78.84943801357248 43.9249361067359, -78.84930649511747 43.92464378721406, -78.85033609307372 43.92438229726338, -78.85038418725141 43.92450839624244, -78.85045768790135 43.92467579557292, -78.85051071254954 43.92478299104753, -78.85053741499578 43.9248229967964, -78.85056971474417 43.92486070847069, -78.85060728615869 43.92489589845462, -78.85064989701823 43.92492788982056, -78.8506966818759 43.92495660505445, -78.85074129818264 43.92497629048732, -78.85078798738884 43.92499210113772, -78.85083670468264 43.92500431256378, -78.85088688937928 43.92501289350541, -78.85093811803372 43.92501759920451, -78.85098968411813 43.9250184010607, -78.85104109172248 43.92501530234801, -78.85109180906319 43.92500829936404, -78.85157379842536 43.92489258770059, -78.85163090962438 43.92488880370719, -78.85166849366381 43.92489338838405, -78.85170399688573 43.92490348899798, -78.85173228549806 43.92491669332308, -78.85198029484806 43.92509090397986, -78.85226499179763 43.92530499838323, -78.85278891527804 43.92568679655484, -78.85287209312666 43.92575370583153, -78.85322629692442 43.92609720812034, -78.85347660979812 43.92635289888004, -78.85366469149385 43.92657180771841, -78.85370388612053 43.92662449463801, -78.85326669449283 43.92686479698168, -78.85304949233844 43.92700099973169, -78.85246650732246 43.92740728895976, -78.85179638933712 43.92691158686423, -78.85165770829222 43.92679038868246, -78.85138610128847 43.92657720259462, -78.85093910711538 43.92624509012107, -78.84989709150406 43.92544120496842, -78.84966319296649 43.92526810177547, -78.84961251039908 43.92522401149188, -78.84956840692841 43.92517631135031, -78.84951880098245 43.92510460001434, -78.84943801357248 43.9249361067359))",-78.85158954135576,43.92585691432216
8,22840,35180129,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320009.03,0009.03,35180024,173786.078533275,2016.6192750976447,"POLYGON ((-78.85170399688573 43.92490348899798, -78.85166849366381 43.92489338838405, -78.85163090962438 43.92488880370719, -78.85157379842536 43.92489258770059, -78.85109180906319 43.92500829936404, -78.85104109172248 43.92501530234801, -78.85098968411813 43.9250184010607, -78.85093811803372 43.92501759920451, -78.85088688937928 43.92501289350541, -78.85083670468264 43.92500431256378, -78.85078798738884 43.92499210113772, -78.85074129818264 43.92497629048732, -78.8506966818759 43.92495660505445, -78.85064989701823 43.92492788982056, -78.85060728615869 43.92489589845462, -78.85056971474417 43.92486070847069, -78.85053741499578 43.9248229967964, -78.85051071254954 43.92478299104753, -78.85045768790135 43.92467579557292, -78.85038418725141 43.92450839624244, -78.85033609307372 43.92438229726338, -78.85032219914582 43.92434259645498, -78.8502140173249 43.92387509447104, -78.85017821145483 43.92370200035398, -78.84986021678382 43.92277319301775, -78.84979909860793 43.92266598980508, -78.84971758303317 43.92257860435431, -78.84965498489098 43.9225278991502, -78.84958540508829 43.92248220610104, -78.84950948767968 43.92244200729694, -78.84942828735036 43.92240758908363, -78.84934260737275 43.92237961211762, -78.84927748860139 43.92236329448998, -78.84874591889508 43.92226749515585, -78.84811029299122 43.92215279400585, -78.84811160960615 43.9220280985216, -78.84809341345962 43.92190109248269, -78.84805698867385 43.92177620362911, -78.84781180506491 43.9212051044729, -78.84753779660663 43.92057878938151, -78.84837421256316 43.92039080281938, -78.84873428253448 43.92030640422135, -78.84883928558307 43.92028179484991, -78.84924149192665 43.92018759123153, -78.85050839540344 43.91989180627431, -78.85159289993889 43.91964269570903, -78.85166021670604 43.91993579862491, -78.85170339253972 43.92007740929577, -78.85186238596593 43.92047880493881, -78.85200901500284 43.92083369490769, -78.8526502937973 43.92228989068875, -78.85288418947984 43.92282219853905, -78.85400648997418 43.92536188953189, -78.85406321274722 43.92548989572786, -78.85423210336971 43.92587130976147, -78.85322629692442 43.92609720812034, -78.85287209312666 43.92575370583153, -78.85278891527804 43.92568679655484, -78.85226499179763 43.92530499838323, -78.85198029484806 43.92509090397986, -78.85173228549806 43.92491669332308, -78.85170399688573 43.92490348899798))",-78.85105607164007,43.92259084600009
9,22841,35180130,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320009.02,0009.02,35180030,222653.299641325,2236.9114524836373,"POLYGON ((-78.8476786154603 43.91839798991047, -78.84758060935246 43.91810510398721, -78.84668681208412 43.91830860082977, -78.84663089073211 43.91830950390132, -78.84659130187092 43.91829930036953, -78.84655778704165 43.91828068783208, -78.84654069978023 43.91826448909821, -78.84652858712833 43.91824618732499, -78.84637449130031 43.91791758790222, -78.84629351611855 43.91772089818674, -78.84598158709701 43.9170241859028, -78.84587931123427 43.91678121468617, -78.84587400962236 43.9167356133601, -78.84587819830116 43.91671670150235, -78.84589450507914 43.91669059668818, -78.84592100684067 43.9166693091823, -78.84594349916367 43.9166588959818, -78.84636421495276 43.91656089102209, -78.84676139045791 43.91645629502005, -78.84665100150957 43.91631799712324, -78.84661180682147 43.91627439664217, -78.84653311028652 43.91617020314726, -78.84646981108968 43.91606051432302, -78.8463852040655 43.91580029663, -78.8461918052744 43.91513899345993, -78.84609379543572 43.91482849362457, -78.8459580012405 43.91438589369435, -78.84585061273148 43.91408061068282, -78.84619301134623 43.91399910000629, -78.84671589709158 43.91387979235575, -78.84691291256399 43.91383849385279, -78.84730410509192 43.91375649687595, -78.84784328958936 43.91362740742383, -78.84832520593584 43.9134997098517, -78.84857429051765 43.91345109810863, -78.84892671043984 43.91339760557133, -78.84911021251669 43.91384619818779, -78.84926180323545 43.91417351078824, -78.84987239455818 43.9155500003573, -78.85008049424313 43.91601170679081, -78.85082319768229 43.91768290425473, -78.85129769529648 43.91877458736652, -78.85143890289329 43.91913310536362, -78.85150589709377 43.9193155974859, -78.85154948598495 43.919453290519, -78.85159289993889 43.91964269570903, -78.85050839540344 43.91989180627431, -78.84924149192665 43.92018759123153, -78.84883928558307 43.92028179484991, -78.84873428253448 43.92030640422135, -78.84837421256316 43.92039080281938, -78.84753779660663 43.92057878938151, -78.84726208630211 43.91995571063627, -78.8472300967601 43.91985200271763, -78.84721100535218 43.9197207030173, -78.84721101560675 43.91963520163661, -78.84722370799541 43.91955019047938, -78.84724839772352 43.919466696526, -78.84738029097662 43.91923899087588, -78.84744379362436 43.91914329678349, -78.84761451621142 43.91888390410862, -78.84767851212028 43.91872761015835, -78.84769680133395 43.91865229751188, -78.8477040160768 43.91857609372344, -78.84769749168952 43.91848699298245, -78.8476786154603 43.91839798991047))",-78.84851173408053,43.91706525583949
